start pipeline configuration
start mask
finished mask
         1911383 function calls (1882899 primitive calls) in 26.152 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.013    0.000 __init__.py:2157(fixup_namespace_packages)
27148/27147    0.013    0.000    0.013    0.000 {method 'format' of 'str' objects}
     1177    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:427(_validate_bytecode_header)
     3775    0.003    0.000    0.013    0.000 fromnumeric.py:1900(any)
      278    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1206(find_loader)
        1    0.000    0.000    0.013    0.013 shape_base.py:180(vstack)
        1    0.000    0.000    0.013    0.013 qt.py:51(<module>)
      303    0.008    0.000    0.013    0.000 doccer.py:128(indentcount_lines)
        1    0.000    0.000    0.013    0.013 local.py:1(<module>)
        2    0.003    0.001    0.013    0.006 transformfqtogr.py:50(transform)
     3313    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
       29    0.000    0.000    0.012    0.000 pyparsing.py:1571(parseString)
        1    0.000    0.000    0.012    0.012 message.py:5(<module>)
        2    0.001    0.000    0.012    0.006 _signatures.py:706(create_signature_registry)
        1    0.000    0.000    0.012    0.012 series.py:3(<module>)
        1    0.000    0.000    0.012    0.012 spline.py:32(<module>)
    11068    0.003    0.000    0.012    0.000 version.py:47(__lt__)
        1    0.000    0.000    0.012    0.012 event_streams.py:1637(event)
        1    0.000    0.000    0.012    0.012 escape.py:21(<module>)
        2    0.000    0.000    0.012    0.006 _core.py:1886(fill_events)
       71    0.000    0.000    0.012    0.000 run_main.py:25(<lambda>)
    11494    0.004    0.000    0.012    0.000 version.py:53(__eq__)
        1    0.000    0.000    0.012    0.012 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:157(<module>)
      350    0.001    0.000    0.011    0.000 __init__.py:2406(__init__)
        1    0.000    0.000    0.011    0.011 compat.py:9(<module>)
      572    0.000    0.000    0.011    0.000 _signatures.py:712(<genexpr>)
       13    0.000    0.000    0.011    0.001 basic.py:619(inv)
      306    0.001    0.000    0.011    0.000 _signatures.py:669(expand_sig)
        1    0.000    0.000    0.011    0.011 xsdimage.py:32(<module>)
       27    0.000    0.000    0.011    0.000 getlimits.py:94(__new__)
      593    0.002    0.000    0.011    0.000 __init__.py:74(open_resource)
        1    0.000    0.000    0.011    0.011 delayed.py:1(<module>)
      164    0.002    0.000    0.011    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.011    0.011 _discrete_distns.py:5(<module>)
